2025-05-20 13:17:28.451569 - 🚀 Starting article-compliant preprocessing pipeline...
2025-05-20 13:18:13.924173 - [✓] IMI Desert Eagle - 2 (3).wav processed
2025-05-20 13:18:14.099945 - [✓] IMI Desert Eagle - 2 (30).wav processed
2025-05-20 13:18:14.259519 - [✓] IMI Desert Eagle - 2 (31).wav processed
2025-05-20 13:18:14.494714 - [✓] IMI Desert Eagle - 2 (32).wav processed
2025-05-20 13:18:14.688400 - [✓] IMI Desert Eagle - 2 (33).wav processed
2025-05-20 13:18:14.908494 - [✓] IMI Desert Eagle - 2 (34).wav processed
2025-05-20 13:18:15.103730 - [✓] IMI Desert Eagle - 2 (35).wav processed
2025-05-20 13:18:15.304271 - [✓] IMI Desert Eagle - 2 (36).wav processed
2025-05-20 13:18:15.606306 - [✓] IMI Desert Eagle - 2 (37).wav processed
2025-05-20 13:18:15.916123 - [✓] IMI Desert Eagle - 2 (38).wav processed
2025-05-20 13:18:16.137951 - [✓] IMI Desert Eagle - 2 (39).wav processed
2025-05-20 13:18:16.353531 - [✓] IMI Desert Eagle - 2 (4).wav processed
2025-05-20 13:18:16.578445 - [✓] IMI Desert Eagle - 2 (40).wav processed
2025-05-20 13:18:16.787006 - [✓] IMI Desert Eagle - 2 (41).wav processed
2025-05-20 13:18:16.938139 - [✓] IMI Desert Eagle - 2 (42).wav processed
2025-05-20 13:18:17.079967 - [✓] IMI Desert Eagle - 2 (43).wav processed
2025-05-20 13:18:17.279098 - [✓] IMI Desert Eagle - 2 (44).wav processed
2025-05-20 13:18:17.434584 - [✓] IMI Desert Eagle - 2 (45).wav processed
2025-05-20 13:18:17.675100 - [✓] IMI Desert Eagle - 2 (46).wav processed
2025-05-20 13:18:17.840811 - [✓] IMI Desert Eagle - 2 (47).wav processed
2025-05-20 13:18:18.046704 - [✓] IMI Desert Eagle - 2 (48).wav processed
2025-05-20 13:18:18.211056 - [✓] IMI Desert Eagle - 2 (49).wav processed
2025-05-20 13:18:18.381483 - [✓] IMI Desert Eagle - 2 (5).wav processed
2025-05-20 13:18:18.595575 - [✓] IMI Desert Eagle - 2 (50).wav processed
2025-05-20 13:18:18.792577 - [✓] IMI Desert Eagle - 2 (51).wav processed
2025-05-20 13:18:19.096733 - [✓] IMI Desert Eagle - 2 (52).wav processed
2025-05-20 13:18:19.329532 - [✓] IMI Desert Eagle - 2 (53).wav processed
2025-05-20 13:18:19.538771 - [✓] IMI Desert Eagle - 2 (54).wav processed
2025-05-20 13:18:19.685495 - [✓] IMI Desert Eagle - 2 (55).wav processed
2025-05-20 13:18:19.809611 - [✓] IMI Desert Eagle - 2 (56).wav processed
2025-05-20 13:18:19.951475 - [✓] IMI Desert Eagle - 2 (57).wav processed
2025-05-20 13:18:20.133609 - [✓] IMI Desert Eagle - 2 (58).wav processed
2025-05-20 13:18:20.277897 - [✓] IMI Desert Eagle - 2 (59).wav processed
2025-05-20 13:18:20.414881 - [✓] IMI Desert Eagle - 2 (6).wav processed
2025-05-20 13:18:20.644512 - [✓] IMI Desert Eagle - 2 (60).wav processed
2025-05-20 13:18:20.861263 - [✓] IMI Desert Eagle - 2 (61).wav processed
2025-05-20 13:18:21.010684 - [✓] IMI Desert Eagle - 2 (62).wav processed
2025-05-20 13:18:21.129570 - [✓] IMI Desert Eagle - 2 (63).wav processed
2025-05-20 13:18:21.275892 - [✓] IMI Desert Eagle - 2 (64).wav processed
2025-05-20 13:18:21.403968 - [✓] IMI Desert Eagle - 2 (65).wav processed
2025-05-20 13:18:21.554945 - [✓] IMI Desert Eagle - 2 (66).wav processed
2025-05-20 13:18:21.748344 - [✓] IMI Desert Eagle - 2 (67).wav processed
2025-05-20 13:18:21.905510 - [✓] IMI Desert Eagle - 2 (68).wav processed
2025-05-20 13:18:22.078569 - [✓] IMI Desert Eagle - 2 (69).wav processed
2025-05-20 13:18:22.209354 - [✓] IMI Desert Eagle - 2 (7).wav processed
2025-05-20 13:18:22.351262 - [✓] IMI Desert Eagle - 2 (70).wav processed
2025-05-20 13:18:22.526151 - [✓] IMI Desert Eagle - 2 (71).wav processed
2025-05-20 13:18:22.661920 - [✓] IMI Desert Eagle - 2 (72).wav processed
2025-05-20 13:18:22.815467 - [✓] IMI Desert Eagle - 2 (73).wav processed
2025-05-20 13:18:22.979517 - [✓] IMI Desert Eagle - 2 (74).wav processed
2025-05-20 13:18:23.113770 - [✓] IMI Desert Eagle - 2 (75).wav processed
2025-05-20 13:18:23.273556 - [✓] IMI Desert Eagle - 2 (76).wav processed
2025-05-20 13:18:23.399167 - [✓] IMI Desert Eagle - 2 (77).wav processed
2025-05-20 13:18:23.536749 - [✓] IMI Desert Eagle - 2 (78).wav processed
2025-05-20 13:18:23.694009 - [✓] IMI Desert Eagle - 2 (79).wav processed
2025-05-20 13:18:23.829205 - [✓] IMI Desert Eagle - 2 (8).wav processed
2025-05-20 13:18:24.009571 - [✓] IMI Desert Eagle - 2 (80).wav processed
2025-05-20 13:18:24.189532 - [✓] IMI Desert Eagle - 2 (81).wav processed
2025-05-20 13:18:24.314547 - [✓] IMI Desert Eagle - 2 (82).wav processed
2025-05-20 13:18:24.463806 - [✓] IMI Desert Eagle - 2 (83).wav processed
2025-05-20 13:18:24.612142 - [✓] IMI Desert Eagle - 2 (84).wav processed
2025-05-20 13:18:24.773379 - [✓] IMI Desert Eagle - 2 (85).wav processed
2025-05-20 13:18:24.992750 - [✓] IMI Desert Eagle - 2 (86).wav processed
2025-05-20 13:18:25.144348 - [✓] IMI Desert Eagle - 2 (87).wav processed
2025-05-20 13:18:25.351288 - [✓] IMI Desert Eagle - 2 (88).wav processed
2025-05-20 13:18:25.687366 - [✓] IMI Desert Eagle - 2 (89).wav processed
2025-05-20 13:18:25.867084 - [✓] IMI Desert Eagle - 2 (9).wav processed
2025-05-20 13:18:26.023980 - [✓] IMI Desert Eagle - 2 (90).wav processed
2025-05-20 13:18:26.212947 - [✓] IMI Desert Eagle - 2 (91).wav processed
2025-05-20 13:18:26.362169 - [✓] IMI Desert Eagle - 2 (92).wav processed
2025-05-20 13:18:26.524596 - [✓] IMI Desert Eagle - 2 (93).wav processed
2025-05-20 13:18:26.677918 - [✓] IMI Desert Eagle - 2 (94).wav processed
2025-05-20 13:18:26.801819 - [✓] IMI Desert Eagle - 2 (95).wav processed
2025-05-20 13:18:26.933757 - [✓] IMI Desert Eagle - 2 (96).wav processed
2025-05-20 13:18:27.101572 - [✓] IMI Desert Eagle - 2 (97).wav processed
2025-05-20 13:18:27.261963 - [✓] IMI Desert Eagle - 2 (98).wav processed
2025-05-20 13:18:27.444638 - [✓] IMI Desert Eagle - 2 (99).wav processed
2025-05-20 13:18:27.573691 - [✓] M16 - 4 (1).wav processed
2025-05-20 13:18:27.724964 - [✓] M16 - 4 (10).wav processed
2025-05-20 13:18:27.860772 - [✓] M16 - 4 (100).wav processed
2025-05-20 13:18:28.004443 - [✓] M16 - 4 (11).wav processed
2025-05-20 13:18:28.148871 - [✓] M16 - 4 (12).wav processed
2025-05-20 13:18:28.338138 - [✓] M16 - 4 (13).wav processed
2025-05-20 13:18:28.508357 - [✓] M16 - 4 (14).wav processed
2025-05-20 13:18:28.664911 - [✓] M16 - 4 (15).wav processed
2025-05-20 13:18:28.810068 - [✓] M16 - 4 (16).wav processed
